algorithm,episode,mean_return,std_return,num_seeds
maddpg,100,-21.970501976013185,2.9506631556829412,10
maddpg,200,-21.15567945480347,2.813290057540499,10
maddpg,300,-19.82652395248413,2.1926741840457717,10
maddpg,400,-19.875826339721677,1.985867490154254,10
maddpg,500,-20.882154293060303,2.4199481231202995,10
maddpg,600,-20.224350051879885,2.6359255518408475,10
maddpg,700,-19.613053932189942,1.0779689120276024,10
maddpg,800,-20.375508251190187,1.5867316847680188,10
maddpg,900,-20.143838195800782,2.2091807163937878,10
maddpg,1000,-19.39620843887329,1.0458299123436046,10
independent_ddpg,100,-22.924438514709472,2.659414563923207,10
independent_ddpg,200,-20.80003595352173,3.214478268876874,10
independent_ddpg,300,-20.844323081970213,2.392061239505215,10
independent_ddpg,400,-20.836614894866944,2.3210706459818278,10
independent_ddpg,500,-20.44602716445923,1.8721874937328629,10
independent_ddpg,600,-20.522636737823486,2.4172978014625115,10
independent_ddpg,700,-20.333095016479493,1.8967127581111458,10
independent_ddpg,800,-19.994739456176756,1.8807949990075081,10
independent_ddpg,900,-19.64109031677246,1.4673077608647,10
independent_ddpg,1000,-19.96263391494751,1.87943809454544,10
