algorithm,num_seeds,mean_training_return,std_training_return,mean_evaluation_return,std_evaluation_return
maddpg,3,-21.30491468302409,0.6586556752616785,-20.498471291859943,1.0896251871768214
independent_ddpg,3,-20.884360778490702,0.4135857293823065,-20.26860404332479,1.285722485649287
