algorithm,policy_count,test_seeds_per_policy,mean_success_rate,std_success_rate_across_policies,mean_return,std_return_across_policies,mean_steps,std_steps_across_policies,mean_final_distance,std_final_distance_across_policies,mean_collisions,std_collisions_across_policies,mean_force_disagreement,std_force_disagreement_across_policies,mean_control_effort,std_control_effort_across_policies,mean_max_abs_orientation,std_max_abs_orientation_across_policies
maddpg,10,20,0.16,0.30073982849706554,0.959965952689692,3.8372052357955666,264.04499999999996,69.73664925991211,1.3380626453457771,0.9384234533305926,173.41,101.83944553397109,0.5720650410052723,0.15407482399093292,792.7865487109843,292.8000307091151,0.6251703030940884,0.48851797920873047
independent_ddpg,10,20,0.36,0.39355925715054507,3.7320334047393295,4.575824230326644,226.4,90.32264389398708,0.8296571419635125,0.4936400302361504,135.75,103.5441961461653,0.3628340907098064,0.09347966357734885,529.1245984215533,237.0407190824116,0.7102547898634342,0.7937179174361975
handcrafted,1,20,1.0,nan,11.196827597678624,nan,63.1,nan,0.18186468045329915,nan,0.0,nan,0.23261219660741522,nan,112.12280573188323,nan,0.1841491520455157,nan
