algorithm,seed,episodes_completed,environment_steps,update_count,mean_training_return,training_seconds,wall_runtime_seconds,final_eval_return,final_success_rate,final_mean_steps,final_mean_distance,final_mean_collisions,final_mean_force_disagreement,final_mean_control_effort,final_mean_max_abs_orientation
independent_ddpg,3,500,147431,73460,-0.06531613567060231,1661.4599207001738,1663.1614871998318,-0.48353641091671307,0.0,300.0,1.4028462716222114,259.6,0.522194454003682,585.5623757625989,0.04900120737807954
independent_ddpg,7,500,139176,69333,0.8399108300134794,1350.7337781996466,1350.7834136001766,9.918745235523966,0.9,98.2,0.25575257055283074,35.6,0.2880811458718486,323.2420968477137,0.6085553168696606
independent_ddpg,11,500,148671,74080,-0.27502345282611657,1344.8819496999495,1344.916607500054,-0.20329585683903134,0.0,300.0,0.9044829529607481,118.0,0.3171054261787858,803.4950087167083,1.2647274917541975
independent_ddpg,19,500,146429,72959,-0.07322427039344256,1270.8319757999852,1270.8668302996084,-0.9180403071171866,0.0,300.0,1.495090098877347,87.3,0.4336803589817307,931.1492433572436,2.5342959487436696
independent_ddpg,23,500,144793,72141,0.18848119547120495,1264.1439515999518,1264.1805441998877,4.293405337729746,0.4,223.8,0.67489424871002,157.8,0.35738850642896114,544.1217795357785,0.5482175879189264
independent_ddpg,29,500,117870,58680,2.902441800589163,1029.4735356997699,1029.5092177996412,11.157030566500179,1.0,64.6,0.18353850336667993,0.0,0.2831333699455104,169.21292091505782,0.24310890013590938
independent_ddpg,31,500,146403,72946,-0.027745589539540816,1259.1478084996343,1259.1879110001028,5.495689206285078,0.5,201.0,0.5629537268414473,127.9,0.29880060933779673,450.63168966214596,0.30813326972194055
independent_ddpg,37,500,144709,72099,0.028482226988712455,1368.0966493999586,1368.138707099948,8.860699767745155,0.8,141.5,0.28920615286717766,5.0,0.4461473568863414,349.8623932500758,0.7768215804891445
independent_ddpg,41,500,150000,74745,-0.15732041130384963,2067.3006005003117,2067.3694107001647,-0.09409163150839958,0.0,300.0,1.285908832404504,268.1,0.26803771840660834,301.58894357326255,0.5564398741901211
independent_ddpg,47,500,108559,54024,3.903052386995214,2230.274923100136,2230.376339599956,-0.1286420336116862,0.0,300.0,0.9640012234900928,255.7,0.38379726658523616,671.7968721487221,0.2963305367773057
