algorithm,seed,episodes_completed,environment_steps,update_count,mean_training_return,training_seconds,wall_runtime_seconds,final_eval_return,final_success_rate,final_mean_steps,final_mean_distance,final_mean_collisions,final_mean_force_disagreement,final_mean_control_effort,final_mean_max_abs_orientation
maddpg,3,500,143160,71325,0.0430002510008743,1540.6437555002049,1541.8698119004257,1.8779525495365306,0.2,255.6,0.8801899927253223,177.3,0.4619977522173796,746.7296791630179,0.4879308736674579
maddpg,7,500,134296,66893,1.1305045151602315,1531.1974842003547,1531.2466648002155,-1.5098185464423295,0.0,300.0,1.9644035249288923,176.0,0.6223185864297889,1043.1548299898093,1.2685247816911251
maddpg,11,500,149865,74677,-0.8693726458370047,1651.5420083999634,1651.5882812002674,-0.9446350815866026,0.0,300.0,1.3393708813965022,275.5,0.7290864091898347,1109.946303478163,0.6438322630463087
maddpg,19,500,149579,74534,-0.26761600537876007,2497.0947817997076,2497.1550571001135,-0.7202595814153938,0.0,300.0,1.3254891326925047,184.8,0.5216895036413223,902.9694831830218,1.1013141600906817
maddpg,23,500,144150,71820,0.021605818579832545,3573.0690518002957,3573.1569520998746,2.9386251331518,0.3,235.9,0.8899536954682356,192.5,0.47828270024198793,683.8425493932916,0.5639775885314838
maddpg,29,500,146270,72880,-0.09169119756497576,2628.470210299827,2628.5409447001293,-0.4189259043778293,0.0,300.0,1.0922430124705176,265.8,0.32042779420330336,836.4649723373016,0.1509977063579079
maddpg,31,500,109290,54390,3.8803792274485005,1252.1639959001914,1252.2118231998757,11.189837274451373,1.0,65.4,0.18009898570268865,0.0,0.2889671088417268,139.33857966889457,0.1246167298961733
maddpg,37,500,149606,74548,-0.6561411706321616,1794.521056199912,1794.5643705003895,-3.120119776467919,0.0,300.0,3.7332722579663318,0.0,0.8024176893599313,886.6157324228955,1.1905646718134728
maddpg,41,500,113794,56642,3.367703961091951,1144.7524882997386,1144.7843264001422,0.06532965603219054,0.0,300.0,0.9476955610837718,251.6,0.6667792531909478,480.38092872860005,0.0662437035780338
maddpg,47,500,149498,74494,-0.8374706132820421,1487.1017793002538,1487.139025399927,-0.773088483754077,0.0,300.0,1.3196424153174942,275.6,0.42437399696276257,960.6021320524533,0.11228005796121962
