algorithm,training_seed,test_episode_count,success_rate,mean_return,mean_steps,mean_final_distance,mean_collisions,mean_force_disagreement,mean_control_effort,mean_max_abs_orientation
maddpg,3,20,0.35,3.547486594316274,221.9,0.767506085461789,102.15,0.4871629814915134,675.8224542402,0.7698223411112224
maddpg,7,20,0.0,-1.352980995918483,300.0,1.764418776813729,203.1,0.6952221084966832,1079.377365205665,1.4038931439866336
maddpg,11,20,0.0,-0.953996439335242,300.0,1.3388421649649211,275.4,0.7243079445899593,1105.9694318242605,0.6383333064138865
maddpg,19,20,0.0,-0.8375284522832033,300.0,1.3697148336259626,171.9,0.5310760520528002,958.6287754480938,1.144551020604064
maddpg,23,20,0.15,1.1622269667962428,271.25,0.987023358638264,226.25,0.5661080349313286,841.5648456771929,0.4682796666030239
maddpg,29,20,0.15,1.2338944293446956,268.1,0.9899986278669564,217.15,0.39103009522009635,766.9220734814991,0.3120734514833377
maddpg,31,20,0.95,10.603079905782215,79.2,0.21071282216495524,12.35,0.29661567242889236,177.02236649641193,0.10881840080499354
maddpg,37,20,0.0,-3.126257416721535,300.0,3.732850901408843,0.0,0.7984814352818134,884.221675603933,1.1922031846775087
maddpg,41,20,0.0,0.11194387359150823,300.0,0.9324402274741578,251.85,0.6522625568694236,446.4310572817076,0.07141658457947327
maddpg,47,20,0.0,-0.7882089386755524,300.0,1.2871186550381923,273.95,0.5783835286902131,991.9054418508788,0.14231193067674058
independent_ddpg,3,20,0.0,-0.5263027750321726,300.0,1.4005213783728019,260.45,0.5643895457453366,616.596555678634,0.047920460046006585
independent_ddpg,7,20,1.0,11.092226556230253,68.7,0.18520112807068817,6.35,0.24332092856014023,213.38740367411043,0.6815866537586972
independent_ddpg,11,20,0.2,2.1631277533236415,265.35,0.7164881599401776,152.75,0.3079916137639499,611.1991832692657,0.6704047587993702
independent_ddpg,19,20,0.0,-1.166968431596399,300.0,1.6651193222080622,63.4,0.3916875676198908,992.6642676642114,2.832662109939784
independent_ddpg,23,20,0.35,3.6889536621155004,240.4,0.7741782002146643,184.2,0.39661560545243646,527.6832510374037,0.3257114538478481
independent_ddpg,29,20,0.95,10.557508538495677,82.4,0.2253939947154156,17.9,0.2892532306203133,207.91265164717456,0.22424834882165556
independent_ddpg,31,20,0.2,2.0619372728173557,279.25,0.7534199412273734,172.3,0.3318765531018263,675.457937182136,0.653162875277225
independent_ddpg,37,20,0.75,8.178257926085063,155.85,0.4236470147690353,8.95,0.4312988430203684,388.91026272031405,0.9417177378295071
independent_ddpg,41,20,0.0,-0.18745576568421712,300.0,1.277019586951289,266.7,0.2800448640344705,401.25133720330354,0.5066142101336872
independent_ddpg,47,20,0.15,1.4590493106385964,272.05,0.8755826931656168,224.5,0.3918621551793319,656.1831341389797,0.21851929018056052
handcrafted,,20,1.0,11.196827597678624,63.1,0.18186468045329915,0.0,0.23261219660741522,112.12280573188323,0.1841491520455157
