algorithm,policy_count,test_seeds_per_policy,mean_success_rate,std_success_rate_across_policies,mean_return,std_return_across_policies,mean_steps,std_steps_across_policies,mean_final_distance,std_final_distance_across_policies,mean_collisions,std_collisions_across_policies,mean_force_disagreement,std_force_disagreement_across_policies,mean_control_effort,std_control_effort_across_policies,mean_max_abs_orientation,std_max_abs_orientation_across_policies
maddpg,10,20,0.97,0.06749485577105528,10.68819611441992,0.8699948665994476,83.00000000000001,21.689513595283778,0.23788289801137236,0.13683360081751916,0.0,0.0,0.3397024734241431,0.09662520337639563,264.7361278257488,92.87325060522532,1.1324233514267905,0.9928625121033472
independent_ddpg,10,20,0.9400000000000001,0.1286683937707919,10.336977039634652,1.6986368413890245,94.41499999999999,56.56491870212294,0.27157867850327577,0.2419828064515886,0.0,0.0,0.35752629151232806,0.06850756863668157,282.25942006599564,188.3224982580604,1.6401362971949436,0.6098118863954102
handcrafted,1,20,1.0,nan,11.196827597678624,nan,63.1,nan,0.18186468045329915,nan,0.0,nan,0.23261219660741522,nan,112.12280573188323,nan,0.1841491520455157,nan
