algorithm,training_seed,disturbance_type,disturbance_level,num_episodes,success_rate,mean_episode_return,std_episode_return,mean_final_goal_distance,std_final_goal_distance,mean_episode_length,std_episode_length,mean_payload_stability,std_payload_stability,mean_control_effort,std_control_effort,mean_force_imbalance,std_force_imbalance
handcrafted,,action_deadzone,0.0,20,1.0,11.206196562882985,0.02015589955610686,0.1840628233614444,0.00977195045885986,62.5,1.357241785076593,0.26861118625566344,0.03079180046465711,110.37718083745104,2.610821464496142,0.22819326397311407,0.02643088335978719
handcrafted,,action_deadzone,0.05,20,1.0,11.206597782834251,0.02084899345593755,0.183755014887861,0.010507417605756473,62.4,1.4653901941300926,0.2690018887828832,0.032377725203926434,110.28364280040255,2.6533478780610653,0.22858128519688772,0.025688404076443093
handcrafted,,action_deadzone,0.1,20,1.0,11.203512013819454,0.025857039118711334,0.18677305060573524,0.01051886974384369,62.3,1.4179302929937962,0.2713290526070972,0.03428337007209381,110.35143206548457,2.971374231454129,0.23100397478080154,0.025016746717866477
handcrafted,,action_deadzone,0.2,20,1.0,11.205780896753458,0.025769430560579742,0.18481714012163436,0.008524422973892274,62.15,1.4964871146156007,0.28251754111585925,0.03256479993343291,110.03844353299333,3.0354826640705843,0.2199693105672123,0.02513064952216792
handcrafted,,action_deadzone,0.3,20,1.0,11.20616955722162,0.026063274484636308,0.18457434387969293,0.00848308774921946,62.15,1.4964871146156007,0.283011492814633,0.03173565294787426,109.89265452818893,3.0478468604881503,0.21968186596042863,0.02531641775975483
handcrafted,,observation_noise,0.0,20,1.0,11.206196563069238,0.02015589988874034,0.18406282336771448,0.009771950469760666,62.5,1.357241785076593,0.26861118623218994,0.0307918003822243,110.37718083428112,2.6108213701569367,0.22819326396503503,0.02643088326565263
handcrafted,,observation_noise,0.02,20,1.0,11.205741085452724,0.019432199181202776,0.1842647368990989,0.009232802963013625,62.5,1.357241785076593,0.26962608610608096,0.03182148581887656,110.63063386793965,2.6097645824093263,0.2287357138962116,0.026077665035825162
handcrafted,,observation_noise,0.05,20,1.0,11.206162109333444,0.01935170182741319,0.18284799416756475,0.009985580989846265,62.5,1.3954814298487213,0.27122270316251196,0.033173080869365275,111.62648703822563,2.6498415751133795,0.22841730457890025,0.026965307395138485
handcrafted,,observation_noise,0.1,20,1.0,11.201015473359258,0.02395697797615043,0.1835160317345484,0.010437056197657618,62.4,1.7290094517412349,0.26743672733414614,0.03652082442453473,116.10492084533716,3.306620368283236,0.2255317186736106,0.02364995471903512
handcrafted,,observation_noise,0.2,20,1.0,11.189543454327577,0.025754568329562515,0.18051855109517695,0.009236079415815628,62.8,1.4725559590832462,0.2699396259937243,0.034183850855371484,130.57447497340235,4.738128308319657,0.22679282691634314,0.024917012245436847
independent_ddpg,3,action_deadzone,0.0,20,1.0,11.119235263868177,0.02313977768224107,0.18229691066078552,0.0088103155321691,62.15,0.5871429486123997,1.3752886241387068,0.047402510271273804,199.10443420634098,6.661850931725424,0.4631495200563903,0.022831175630229666
independent_ddpg,3,action_deadzone,0.05,20,1.0,11.11922657093819,0.023128371505719482,0.18230943314209627,0.008815803762206607,62.15,0.5871429486123997,1.3752756347748618,0.04739607970424829,199.10049421818317,6.652111317425942,0.4631297106712031,0.02285544254165376
independent_ddpg,3,action_deadzone,0.1,20,1.0,11.119160225473752,0.023072394214182425,0.1823913699943851,0.008817260726010382,62.15,0.5871429486123997,1.3754591958691869,0.04739248382888161,199.08484857107777,6.661659262858663,0.46311264954051,0.02288427139522739
independent_ddpg,3,action_deadzone,0.2,20,1.0,11.119093542108022,0.023023456472029583,0.1825695959054235,0.008917868498742994,62.15,0.5871429486123997,1.3756855931845318,0.04776230561466965,198.97321410096293,6.385291070042165,0.4637275633796693,0.022889518367376533
independent_ddpg,3,action_deadzone,0.3,20,1.0,11.11912363794836,0.022907569221432597,0.1826536147456577,0.009258121461815195,62.15,0.5871429486123997,1.3754270458352196,0.047848816808360665,198.8592267453586,6.3076486655003405,0.46341351558211413,0.023743588340343725
independent_ddpg,3,observation_noise,0.0,20,1.0,11.119235263868177,0.02313977768224107,0.18229691066078552,0.0088103155321691,62.15,0.5871429486123997,1.3752886241387068,0.047402510271273804,199.10443420634098,6.661850931725424,0.4631495200563903,0.022831175630229666
independent_ddpg,3,observation_noise,0.02,20,1.0,11.112140443922499,0.02587698181367558,0.18448677210607148,0.008145907892136433,62.0,0.6488856845230504,1.3715695540568886,0.05000444635673675,204.0092386200187,7.0320482156642425,0.4625263181960165,0.03345742657177153
independent_ddpg,3,observation_noise,0.05,20,1.0,11.100397030926114,0.022762696659997292,0.1856590635586602,0.008683644187327824,61.55,0.8870412083230168,1.3573847320988854,0.046114537517760595,214.58033965771955,6.830411026864835,0.4589114025730258,0.03283187142400723
independent_ddpg,3,observation_noise,0.1,20,1.0,11.094031265176818,0.025066402524270573,0.18862749884716412,0.0074320327430010165,61.6,1.0954451150103324,1.278804911865267,0.06462188892869031,217.97785857106152,5.8927601404925944,0.40154107795312727,0.04277513203083019
